disc_id;freedbdiscid;"artist_name";"disc_title";"genre_title";"disc_released";disc_tracks;disc_seconds;"disc_language"
2;704530;"Kottans Kapelle";"Kottans Kapelle";"Blues";;18;2752;
3;710162;"Various";"Swinging Mademoiselles";"Jazz";"2005";18;2774;
4;712466;"Etta James";"The Best Of The Modern Years";"Rhythm And Blues";"2005";18;2783;
5;720146;"Fats Domino";"I'M Walking";"Blues";"1999";18;2813;
6;727570;"Albert Collins+Henry Haynes";"Kangaroo Shuffle";"Blues";"1991";18;2842;
7;727827;"Tenacious D";"Tenacious D";"Humour";"2001";19;2843;"eng"
8;734738;"Frank Sinatra";"Selection Of Frank Sinatra-Cd1 (Swing)";"Swing";"1997";18;2870;"eng"
9;736531;"Jimmy Reed";"His Greatest Recordings";"Blues";"1999";19;2877;
10;748306;"Brownie Mcghee";"Born For Bad Luck";"Blues";"2004";18;2923;
11;751378;"Brownie Mcghee";"The Ultimate Jazz Archive Set13";"Blues";;18;2935;
12;751379;"Various";"Stoned To The Bone";"Blues";"1997";19;2935;
13;753170;"Sonny Terry And Brownie Mc Ghee";"Hometown Blues";"Blues";;18;2942;
14;753940;"Various Artists";"Millionaires Only-Vol1";"Blues";;20;2945;"eng"
15;754451;"Various";"Texas Guitar Killers (Disc2)";"Blues";;19;2947;
16;756242;"B. B. King";"The King Of The Blues Guitar";"Blues";;18;2954;
17;758547;"Various";"Senior Prom-Disc2";"Oldies";"1987";19;2963;"eng"
18;765716;"Div.";"Bluegras Originals";"Blues";;20;2991;
19;767250;"Sonny Terry";"The Blues";"Blues";"2004";18;2997;
20;767762;"J. J. Cale";"Gold (Cd1)";"Rock";"2007";18;2999;
21;769810;"Edwin Starr";"Early Classics";"Blues";"1996";18;3007;
22;776465;"Fats Waller";"Portrait";"Jazz";"2002";17;3033;"eng"
23;778769;"Memphis Archives";"Memphis Country Blues Vol1";"Blues";"1994";17;3042;
24;781843;"Ella Fitzgerald";"The Legends Of Jazz";"Jazz";;19;3054;
25;783376;"John Sebastian";"Real Live (1971) Flac";"Blues";;16;3060;
26;784147;"Roy Orbison";"Greatest Hits";"Blues";"1986";19;3063;
27;785682;"Count Basie";"Vol.04-Music Makers";"Jazz";;18;3069;
28;785938;"Louis Jordan";"Five Guys Named Moe (Original Decca Recordings Vol2)";"Jazz";"1992";18;3070;"eng"
29;786450;"Various";"Rhythm+Blues Classics";"Rhythm+Blues";"1996";18;3072;"eng"
30;789008;"The Frequency Benders";"Tuning In";"Rock";"2000";16;3082;
31;794642;"Benny Goodman";"The Essential Benny Goodman-Cd1";"Jazz";"2003";18;3104;"eng"
32;799764;"Fats Domino";"Rockin'And Rollin'";"Rock+Roll";;20;3124;
33;800274;"Memphis Minnie";"The Queen Of The Blues1929-1941";"Blues";"1997";18;3126;"eng"
34;801810;"Various";"Gospel Vol.2-Gospel Quartets-1921-1942";"Gospel";"1994";18;3132;"eng"
35;803600;"Rod Stewart";"As Time Goes By. The Great American Songbook Volume2";"Blues";"2003";16;3139;"eng"
36;806930;"Blues And Soul";"Volume3";"Blues";;18;3152;
37;812052;"Various";"Blues Classics The Best Of (Cd2)";"Blues";"2003";20;3172;
38;812306;"Blind Blake";"Best Of";"Blues";;18;3173;
39;817170;"Jane Birkin";"Ballade De Johnny-Jane";"Chanson";"1992";18;3192;
40;817171;"Howlin'Wolf";"Howlin'For My Baby";"Blues";;19;3192;
41;818194;"Blues Connection (Vol.1)";"How Long, How Long Blues (Disc1)";"Blues";;18;3196;
42;819730;"Buddy Guy";"Stone Crazy-The Blues Collection4";"Blues";"1994";18;3202;
43;820242;"Various-Jazz After Hours";"Smoothies Vol B.";"Jazz";;18;3204;
44;821010;"Lightning Slim";"Rollin'Stone";"Blues";"1989";18;3207;
45;821523;"The Moody Blues";"Early Blues";"Blues";"1985";19;3209;
46;823570;"Art Tatum";"Selected";"Jazz";"2001";18;3217;
47;828691;"Amos Milburn";"Disc4";"R+B";"1994";19;3237;
48;828947;"Nat King Cole";"Blue Lou Cd1";"Jazz";;19;3238;
49;828948;"Various";"100 Essential Tracks-60 S-Cd4";"60 S";"2010";20;3238;"eng"
50;830226;"Stevie Wonder";"Early Classics";"Motown";"2000";18;3243;"eng"
51;830482;"Various Artists";"Female Country Blues Vol.1:1924-1928";"Blues";;18;3244;
52;832530;"Various";"Blues Festival Cd2";"Blues";"2005";18;3252;
53;833298;"Sagat";"My Poem Is. The World According To Sagat";"Hip Hop";"1994";18;3255;
54;833299;"Various Artists";"First Steps";"Jazz";;19;3255;"eng"
55;834066;"Swing Piano Bar";"921-194";"Swing";"1993";18;3258;"eng"
56;834578;"Muddy Waters";"The Ultimate Collection";"Blues";"1992";18;3260;
57;835090;"Various";"Memphis Jug Bands-Walk Right In";"Blues";"1995";18;3262;
58;836884;"Various";"Legends Of Blues (Cd3)";"Blues";"2005";20;3269;
59;837650;"Leadbelly";"King Of The Twelve String";"Blues";;18;3272;
60;837652;"Ray Charles";"Legends";"Easy Listening";"1993";20;3272;"eng"
61;838162;"Leadbelly";"Midnight Special";"Blues";;18;3274;
62;839185;"Elmore James";"King Of The Slide Guitar-Disc4";"Blues";"1982";17;3278;"eng"
63;845074;"James Brown";"Messing With The Blues";"Rhythm+Blues";"1990";18;3301;
66;853010;"Tampa Red";"Slide Guitar Wizard-Cd1";"Blues";;18;3332;
67;855058;"Erroll Garner";"Erroll Garner Cd4";"Jazz";"2005";18;3340;
68;856594;"Various";"Rosensongs";"Easy Listening";;18;3346;
69;856595;"Various Blues";"All-Time75 Blues Hits";"Blues";;19;3346;
70;860944;"Dice+K9 Mobb Starr";"Time Space Rhythm Starrs";"Hip-Hop";"2008";16;3363;
71;861458;"Various";"Classic Blues Vol1";"Blues";"2000";18;3365;
72;862482;"Schee Daneem";"A Schtinknormala Dog.";"Blues";;18;3369;
73;862483;"Diverse";"Early Love Songs";"Blues";;19;3369;
74;865809;"Tommy Johnson";"Legends Of Country Blues-Cd4-5";"Blues";;17;3382;
75;867601;"Lonnie Johnson";"The Unsung Blues Legend";"Blues";;17;3389;
76;867604;"Little Walter";"Juke";"Blues";"2007";20;3389;
77;870162;"Everlast";"Whitey Ford Sings The Blues";"Blues";"1992";18;3399;"eng"
78;878611;"John Hammond Jr.";"Country Blues";"Blues";;19;3432;
79;879122;"Brotha Lynch Hung";"Season Of Da Siccness";"Rap";"1995";18;3434;
80;882962;"Woody Herman And The Third Herd";"Early Autumn (Discovery)";"Jazz";"1987";18;3449;
81;883217;"Marie Bruce";"Moon Chants";"New Age";"2009";17;3450;"eng"
82;883729;"The Steampacket, The Yardbirds";"British Blues Heroes";"Blues";;17;3452;
83;889876;"Various";"Guitar Blues Brothers1";"Blues";"2002";20;3476;
84;895506;"Various";"Lounge Wizards-Jazz After Hours2";"Jazz";;18;3498;"eng"
85;901394;"Dave Harris";"Out Of The Blues Box";"Blues";"2001";18;3521;
86;901652;"Various";"Hometown Skiffle";"Skiffle";;20;3522;"eng"
87;904471;"Irwin Goodman";"Irwinismi Ja Ei Tippa Tapa";"Folk";"1991";23;3533;
88;905490;"Freddie King";"Warner Blues";"Blues";"1998";18;3537;
89;907028;"Ella Fitzgerald";"The Memorial Album";"Blues";;20;3543;
90;908564;"Various";"Tell It Likeit Is-Legends Of Soul Cd3";"Soul";"2009";20;3549;"eng"
91;912404;"Diverse";"100 Black+Soul Hits Cd5";"Jazz";;20;3564;"eng"
92;914194;"Jimmy Yancey";"Eternal Blues";"Blues";;18;3571;
93;914452;"Dizzy Gilliespie";"Dizzy Atmosphere Cd2";"Jazz";"2003";20;3572;"eng"
94;919828;"Ella Fitzgerald";"Ella-Disc1";"Blues";"2004";20;3593;"eng"
95;920340;"Various";"An Anthology Of Big Band Swing (1930-1955)-Disc1";"Jazz";;20;3595;"eng"
96;920849;"Various";"Blues And Boogie Vol.2";"Blues";"2009";17;3597;"eng"
97;922644;"Piano Bar";"Piano Bar Vol.1";"Blues";;20;3604;"eng"
98;923153;"Ralph Sharon";"Portrait Of Harold";"Jazz";;17;3606;"eng"
99;924180;"Various Artists";"Ladies In Blue Cd1";"Blues";;20;3610;"eng"
100;924690;"Duke Ellington-Duke'S Mixture";"At The Bal Masque";"Jazz";;18;3612;
101;926994;"Ike+Tina Turner";"Come Together";"Soul";"2001";18;3621;"eng"
102;932368;"Muddy Waters";"Anthology Cd1";"Blues";"1993";16;3642;
103;169498;"Tenacious D ";"Tenacious D";"Humour";"2001";19;2843;"eng"